raison_soc,adresse_1,adresse_2,adresse_3,code_posta,commune,decription,descriptif,descript_1,informatio,informat_1,marques_et,chartes,telephon,mail,site_inter
Restaurant de la Paix,,13 Grande Rue,,47310,LAPLUME,"A 20 minutes au sud d?Agen, le Restaurant de la Paix vous propose une cuisine traditionnelle dans une ambiance familiale. Entrez et contemplez la vue imprenable sur les alentours (à plus de 50km à la ronde par beau temps !). Le Restaurant de la Paix a","Menu adulte : de 12 à 23 euros
Carte : de 7 à 30 euros
Menu enfant : 7 euros",,"Ouvert toute l'année :
- du mardi au samedi de 12h à 13h30 et de 19h à 20h30
- dimanche de 12h à 13h30
Le bar est ouvert de 7h30 à 21h.
Fermé le lundi",,,,+33 5 53 95 96 35,frederic.boyer.laplume@wanadoo.fr,
Restaurant de la Seoune,,RN 113,Au Peintre,47240,LAFOX,,,,"Ouvert toute l'année, du lundi au samedi midi et soir.",,,,+33 5 53 87 58 28,,
Crêperie des Cornières,,5 rue des Cornières,,47000,AGEN,"Située à deux pas du boulevard piétonnier et de la place des Laitiers, sous les arcades de la pittoresque rue des Cornières, la crêperie vous accueille dans un cadre agréable et convivial.
Une salle de restaurant à la déco typiquement bretonne, c","Formule du midi à 6,90 euros et 8,90 euros
A la carte repas à moins de 15 euros","Formule du midi à 6,90 euros et 8,90 euros
A la carte repas à moins de 15 euros","Ouvert toute l'année du mardi au samedi :
- du mardi au jeudi de 12h à 14h30 et de 19h à 21h30
- le vendredi : de 12h à 14h30 et de 19h à 22h30
- le samedi : de 12h à 15h et de 19h à 23h30
Fermé entre Noël et le jour de l'An.","Ouvert toute l'année du mardi au samedi :
- du mardi au jeudi de 12h à 14h30 et de 19h à 21h30
- le vendredi : de 12h à 14h30 et de 19h à 22h30
- le samedi : de 12h à 15h et de 19h à 23h30
Fermé entre Noël et le jour de l'An.",,,+33 5 53 66 52 37,begicepian@neuf.fr,
Al Dente,,11 rue Molinier,,47000,AGEN,"Dans un environnement agréable à deux pas de la cathédrale Saint-Caprais d?Agen, venez vous évader au c?ur de l?Italie le temps d?un repas. Al Dente vous propose de nombreuses spécialités italiennes et vous garantit une cuisine de qualité éla",,,,,,,+33 5 53 48 03 32,,
La Table des Cornières,,14 rue des Cornières,,47000,AGEN,"Le chef Moïse Rajaonarivelo vous invite à goûter sa cuisine traditionnelle modernisée et influencée par ses origines malgaches à La Table des Cornières. Situé dans l?agréable rue historique des Cornières, le restaurant dispose de deux salles,",,,,,Maître Restaurateur,,+33 5 53 66 60 24,,
L'Aubade,,3 rue des Droits de L'Homme,,47000,AGEN,"La crêperie-restaurant L?Aubade vous accueille en plein coeur du vieil Agen, au pied de l?église Notre-Dame-du-Bourg datant du XIIIème siècle. Découvrez la cuisine savoureuse et raffinée du chef Pascal Piotrowski, maître restaurateur, préparée",,,,,Maître Restaurateur,,+33 5 53 66 63 83,laubade@live.fr,www.creperieresto-laubade.com
L'Escapade,,105 boulevard du Président Carnot,,47000,AGEN,"Le restaurant L?Escapade vous propose sa cuisine authentique au grès des saisons avec des produits du terroir du Lot-et-Garonne. Formules à partir de 12,75 euros , menus, carte, plat du jour.  Nous proposons également  pour réception apéritif, cock","Menu adulte : de 12,75 à 22 euros
Menu enfant : 8,75 euros
Carte : de 6,50 à 27,50 euros",,"ouverture du lundi au vendredi, de 12h à 14h et de 19h à 22h.
Ouvert les samedis et dimanches uniquement sur réservation.
Fermeture annuelle du 24 décembre au 1er janvier.",,"Qualité Tourisme
Sourire du Lot-et-Garonne",,+33 5 53 47 58 58,contact@stimotel.com,www.stimotel.com
Mariottat,,25 rue Louis Vivent,,47000,AGEN,"Au coeur du vieil Agen, à deux pas de l'Eglise Musée des Jacobins. Calme et confort pour savourer une cuisine de terroir contemporain au gré du temps. Etoilé michelin 1 étoile. 3 toques Gault-Millau. Maître Restaurateur de France et Maître Cuisini","Menu dégustation : de 86 à 88 euros
Menu adulte (le midi en semaine) : 27 euros 
Menu adulte (déjeuner et dîner) : 50 euros
Menu enfant : 17 euros",,"Ouvert toute l'année, de 12h à 13h30 et 20h à 21h15 sauf samedi midi, dimanche soir et lundi. Fermé le mercredi midi du 1er novembre au 30 avril.
Fermeture : 1 semaine à Pâques, 1 semaine à Toussaint, 1 semaine à Noël.",,"Maître Restaurateur
Sourire du Lot-et-Garonne",,+33 5 53 77 99 77,contact@restaurant-mariottat.com,www.restaurant-mariottat.com
De L'un Allot're,,,Château d'Allot,47550,BOE,"Dans un écrin de verdure aux portes d?Agen, La Table d?Allot vous prépare une cuisine présentant plats traditionnels et terroir du Sud-ouest. Retrouvez dans vos assiettes foie gras, magret de canard et autres terrines aux pruneaux. La terrasse du re","Formules : 18,90 euros et 25 euros
A la carte : à partir de 10 euros
Menu enfant (jusqu'à 12 ans) : 12 euros",,"Ouvert toute l'année :
- en été, le midi, du mardi au dimanche et le soir, du jeudi au samedi
- en hiver, du mardi au dimanche, uniquement le midi",,,,+33 5 53 87 65 69,,http://domaine-dallot.fr/
La Boucherie,Résidence Rabelais,Boulevard Sylvain Dumon,,47000,AGEN,"Situé en face de la gare, le restaurant La Boucherie s?engage à vous servir de la viande de b?uf de qualité. Dans un décor chaleureux s?inspirant de la boucherie traditionnelle, venez déguster nos grillades, nos exclusivités 100% la Boucherie et",,,"Ouvert toute l'année, tous les jours, du dimanche au jeudi de 12h à 14h30 et de 19h à 22h30 et les vendredi et samedi de 12h à 14h30 et de 19h à 23h.",,,,+33 5 53 67 08 60,laboucherie.restaurantagen@gmail.com,www.la-boucherie.fr
L'Hermine,,21 rue Voltaire,,47000,AGEN,"La crêperie L?Hermine se situe dans la rue Voltaire, surnommée la « rue des restaurants » du centre-ville d?Agen. Vous y trouvez un large choix de crêpes et de galettes pour ravir vos papilles. Afin d?élargir sa carte, le Chef vous prépare éga",,,,,,,+33 5 53 66 14 76,,
Asta Pizza,,5 place de l'Hôtel de Ville,,47220,ASTAFFORT,"Que ce soit pour une pause déjeuner rapide ou l'envie de flâner en terrasse à l'ombre de la superbe halle de la mairie,  Nicole vous accueille tout aussi chaleureusement dans son établissement Asta Pizza.",Se renseigner.,,"Ouvert toute l'année, du mercredi au dimanche de 11h à 13h30 et de 17h à 21h30. Fermé à Noël et jour de l'An.",,,,+33 5 53 68 37 74 ou +33 6 42 99 67 19,,
L'Auberge du Brulhois,,3 avenue d'Agen,,47220,ASTAFFORT,"Entre Brulhois et Gascogne, c?est à Astaffort que L?Auberge du Brulhois vous accueille dans une ambiance familiale et chaleureuse. Dégustez une cuisine de qualité inspirée du terroir où s?accordent toutes les saveurs du Lot-et-Garonne. Le chef co","Menu adulte : de 12 à 32 euros
Menu enfant : 9,50 euros
Carte : de 8 à 18 euros
Menu du jour : à partir de 12 euros",,"Ouvert du 05 janvier au 20 décembre.
Fermeture annuelle du restaurant, du 20 décembre au 5 janvier 2016.",,"Maître Restaurateur
Qualité Tourisme
Sourire du Lot-et-Garonne",,+33 5 53 66 04 79,aubergedubrulhois@gmail.com,www.aubergedubrulhois.com
Le Grand Café Foy,,22 avenue du Général De Gaulle,,47000,AGEN,"Appartenant à l?un des piliers de l?équipe de rugby d?Agen, Philippe Piacentini, Le Grand Café Foy se remplit des amateurs de ce sport installés autour de son grand écran les jours de matchs. Venez prendre un café ou bien vous restaurer dans la",,,Ouvert du lundi au dimanche de 7h à 2h.,,,,+33 5 53 48 13 84,grandcafefoyagen@orange.fr,
Le Margoton,,52 rue Richard Coeur de Lion,,47000,AGEN,"Situé près de l?église des Jacobins, en plein centre-ville d?Agen, Le Margoton vous accueille pour une pause gastronomique, entre authenticité et originalité. Frédérique Fabre en cuisine prépare vos plats en ajoutant une touche d?inventivité",,,,,,,+33 5 53 48 11 55,contact@lemargoton.com,www.lemargoton.com
Les Recettes de Mamie,,16 rue Jean Jaurès,ZA Artigueloube,47550,BOE,"Situé à deux pas d?Agen, venez trouver une cuisine authentique chez Les Recettes de Mamie. Découvrez des plats cuisinés du Sud-ouest faits maison, sans colorant ni conservateur. Un large choix de menus vous renvoie en enfance en retrouvant les recet",,,"Ouvert toute l'année, du lundi au vendredi midi et soir. Le weekend sur réservation pour les repas de groupe.",,,,+33 5 53 87 96 08,,
Café des Arts,,2 rue de Cessac,,47000,AGEN,"Le Café des Arts vous accueille près d?une place historique agenaise pleine de charme, situé en face la mairie et à deux pas du théâtre Ducourneau et du musée des Beaux-Arts. Claude et Bernard vous invitent à vous y arrêter boire un café, pren",,,,,,,+33 5 53 66 01 49,,
La Grande Brasserie,,1 place Rabelais,Agen,47000,AGEN,"La Grande Brasserie de la gare d'Agen a ré-ouvert ses portes en juin dernier, entièrement rénovée, dans un cadre art déco et raffiné. Ce nouveau lieu de style Brasserie parisienne vous accueille dans une ambiance confortable.
Côté fourneaux, le C",,,"Ouvert toute l'année, tous les jours, de 6 heures à 23 heures.",,,,+33 5 53 67 17 37,pxagen@gmail.com,
La Table en Brulhois,,Place de la Batellerie,,47220,SAINT-SIXTE,"Dans le petit village de Saint-Sixte situé sur les bords de Garonne, Isabelle et son équipe de ''la Table en Brulhois'' vous accueillent avec convivialité pour vous faire découvrir une cuisine traditionnelle du Sud-Ouest. En été, profitez de sa ter",,,Ouvert du lundi midi au dimanche soir. Fermé le mercredi soir. Fermé le 25 décembre.,,,,+33 5 53 47 82 29,latableen.brulhois@me.com,
L'Auteuil,,3 route de Nérac,,47520,LE PASSAGE,L'Auteuil vous accueil avec une ambiance familiale et conviviale. Françoise et Jean-Claude vous feront partager leurs cuisine familiale.,,,"Ouvert toute l'année, du mardi au dimanche de 8h30 à 22h. Fermé le lundi.",,,,+33 5 53 95 88 64,,
